usuario,plataformas,n_msgs,n_palabras,tema_dominante,tema_pct,sub_dominante,sub_pct,n_temas_distintos,n_subs_distintos
Facebook::Alberto Ehuan,Facebook,1,3,T17,33.3,T17_S4,33.3,3,3
Facebook::Alex Gutierrez Guerra.,Facebook,1,2,T21,100.0,T21_S3,50.0,1,2
Facebook::Alma Sánchez,Facebook,1,1,T17,100.0,T17_S4,100.0,1,1
Facebook::Ana Laura E P,Facebook,6,10,T01,60.0,T01_S0,60.0,3,3
Facebook::Ana Yuliana Mar Torres,Facebook,3,5,T01,40.0,T01_S0,40.0,4,3
Facebook::Armando Chavez,Facebook,1,0,,0.0,,0.0,0,0
Facebook::Astrid Yamiled,Facebook,1,3,T13,33.3,T13_S1,33.3,3,3
Facebook::Carlos Alfredo Arguelles Cendoya,Facebook,2,3,T17,66.7,T17_S4,66.7,2,2
Facebook::Carolina Diaz,Facebook,1,2,T14,50.0,T14_S2,50.0,2,1
Facebook::Cony,Facebook,1,1,T05,100.0,T05_S1,100.0,1,1
Facebook::Delicias Mamam,Facebook,3,9,T17,22.2,T16_S2,22.2,7,8
Facebook::Elvira Peralta,Facebook,1,1,T17,100.0,T17_S4,100.0,1,1
Facebook::Francisco Adrian Pallares Martinez,Facebook,4,5,T01,80.0,T01_S0,80.0,2,2
Facebook::Francisco Gomez,Facebook,1,8,T23,37.5,T23_S3,25.0,6,7
Facebook::Iker Jassiel,Facebook,1,0,,0.0,,0.0,0,0
Facebook::Irma Robledo Hernandez,Facebook,1,2,T17,50.0,T17_S4,50.0,2,2
Facebook::Isa Guzman,Facebook,3,3,T18,33.3,T18_S1,33.3,3,3
Facebook::Javier Lopez,Facebook,1,1,T17,100.0,T17_S4,100.0,1,1
Facebook::Jemi Moreno,Facebook,1,1,T17,100.0,T17_S4,100.0,1,1
Facebook::Jesus Ramirez,Facebook,1,4,T23,50.0,T17_S4,25.0,3,4
Facebook::John Anthony Reyes Salinas,Facebook,1,9,T17,22.2,T17_S4,11.1,7,7
Facebook::Kendra CL,Facebook,1,1,T17,100.0,T17_S4,100.0,1,1
Facebook::Lesnamo Narvaez,Facebook,1,0,,0.0,,0.0,0,0
Facebook::Letty Aguilar,Facebook,1,1,T17,100.0,T17_S4,100.0,1,1
Facebook::Maria Luisa Lopez Atzin,Facebook,1,3,T15,66.7,T15_S3,66.7,2,2
Facebook::Mónica Villarreal,Facebook,16,381,T23,12.1,T02_S0,5.5,24,73
Facebook::Norma Mendoza,Facebook,1,1,T17,100.0,T17_S4,100.0,1,1
Facebook::Nyde Turrubiates,Facebook,2,2,T01,100.0,T01_S0,100.0,1,1
Facebook::Pedro Sierra,Facebook,1,0,,0.0,,0.0,0,0
Facebook::Perlita Mayorga,Facebook,1,1,T17,100.0,T17_S4,100.0,1,1
Facebook::Rafael Medina de Gandiaga,Facebook,1,0,,0.0,,0.0,0,0
Facebook::Raulinho Roman,Facebook,1,0,,0.0,,0.0,0,0
Facebook::Ricardo Martin Torres Domingo,Facebook,1,1,T13,100.0,T13_S0,100.0,1,1
Facebook::Rob Aidya,Facebook,1,2,T17,50.0,T17_S4,50.0,2,2
Facebook::Tampico Gob,Facebook,3,69,T21,15.9,T02_S0,11.6,16,31
Facebook::Zr Loredo,Facebook,1,1,T01,100.0,T01_S0,100.0,1,1
Instagram::arturo_r_clynes_mogica,Instagram,1,0,,0.0,,0.0,0,0
Instagram::desecotampico,Instagram,1,20,T11,20.0,T05_S0,15.0,11,12
Instagram::juanpizanamtz,Instagram,1,23,T02,21.7,T02_S0,17.4,12,16
Instagram::kukis.toxica,Instagram,4,0,,0.0,,0.0,0,0
Instagram::luisloaiza21,Instagram,1,0,,0.0,,0.0,0,0
Instagram::lupitamaria_sanchez,Instagram,2,0,,0.0,,0.0,0,0
Instagram::mariodallas1862,Instagram,1,0,,0.0,,0.0,0,0
Instagram::metrotampico,Instagram,3,110,T20,21.8,T01_S0,10.9,21,35
Instagram::monicavtampico,Instagram,6,169,T23,17.8,T02_S0,6.5,24,53
Instagram::ocarfuentw,Instagram,1,2,T01,50.0,T01_S2,50.0,2,2
Instagram::ocejo.sergio,Instagram,1,2,T04,100.0,T04_S0,100.0,1,1
Instagram::prevencion.delito_tampico,Instagram,1,30,T21,23.3,T21_S2,13.3,11,18
Instagram::tampico.noticias,Instagram,1,20,T24,25.0,T07_S3,10.0,8,15
Instagram::turismotampico,Instagram,3,47,T01,19.1,T01_S1,17.0,14,25
Medios::El Sol de México,Medios,57,1111,T24,19.6,T24_S0,8.4,25,102
Medios::Milenio,Medios,54,2773,T06,8.5,T06_S1,3.5,25,106
TikTok::info7tamps,TikTok,1,25,T04,20.0,T04_S0,20.0,11,15
TikTok::israelponceporstreaming,TikTok,2,15,T16,33.3,T16_S0,26.7,8,9
TikTok::monicavtampico,TikTok,2,48,T05,16.7,T02_S0,8.3,18,28
TikTok::prevenciondelitotampico,TikTok,1,27,T16,18.5,T02_S0,7.4,14,18
Twitter::@EleeseNoticias,Twitter,2,24,T16,25.0,T16_S0,16.7,12,17
